content_type,title,release_year,genres,imdb_rating,runtime,age_rating,production_country,streaming_service,url
movie,The Wrecking Crew(2026),,Not Available,,Not Available,Not Available,Not Available,"2012, 2048: Nowhere to Run, 28 Years Later: The Bone Temple, Amazon Prime Video, Amazon Prime Video with Ads, Anaconda",https://www.justwatch.com/in/movie/the-wrecking-crew-2026
movie,Hotspot 2 Much(2026),,Not Available,,Not Available,Not Available,Not Available,"12 Angry Men, 28 Years Later: The Bone Temple, 7:11 PM, Aditya Baskar, Adiyae!, Aflatoon",https://www.justwatch.com/in/movie/hotspot-2-much-2026
movie,Kantara - A Legend: Chapter 1(2025),,Not Available,,Not Available,Not Available,Not Available,"120 Bahadur, 28 Years Later: The Bone Temple, 376 D, 7:11 PM, Achyuth Kumar, Amazon Prime Video",https://www.justwatch.com/in/movie/kantara-chapter-1
movie,"""Wuthering Heights""(2026)",,Not Available,,Not Available,Not Available,Not Available,"""Wuthering Heights"", 14 Days Love, 28 Years Later: The Bone Temple, About Time, Alison Oliver, Amsterdam",https://www.justwatch.com/in/movie/wuthering-heights-2026
movie,Plank Face(2016),,Not Available,,Not Available,Not Available,Not Available,"#AMFAD All My Friends Are Dead, 12 Steps to Recovery, 28 Years Later: The Bone Temple, Alyss Winkler, Andakagasam, Apple TV",https://www.justwatch.com/in/movie/plank-face
movie,Brothel(2008),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 6 Models in Hell, Andrea Morris, Apple TV, Avatar: Fire and Ash, Avengers: Doomsday",https://www.justwatch.com/in/movie/brothel
movie,Eko(2025),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, Alappuzha Gymkhana, Anand Sreebala, Annihilation, Anthony, Apple TV",https://www.justwatch.com/in/movie/eko
movie,28 Years Later: The Bone Temple(2026),,Not Available,,Not Available,Not Available,Not Available,"28 Days Later, 28 Weeks Later, 28 Years Later, 28 Years Later: The Bone Temple, Alfie Williams, Amazon Video",https://www.justwatch.com/in/movie/28-years-later-the-bone-temple
movie,Women in the Dark(2019),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, Ali Skye Bennet, Anne Sofie Espersen, Anthony, Apple TV, Ashcon Hamedi Nejad",https://www.justwatch.com/in/movie/women-in-the-dark
movie,The Kerala Story(2023),,Not Available,,Not Available,Not Available,Not Available,"#Home, 1920, 28 Years Later: The Bone Temple, 365 dni, A Throw of Dice, Adah Sharma",https://www.justwatch.com/in/movie/the-kerala-story
movie,Kalamkaval(2025),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 7:11 PM, Accident or Conspiracy: Godhra, Aliya Basu Gayab Hai, Amanuda, Anvatt",https://www.justwatch.com/in/movie/kalamkaval
movie,Body of Night(2020),,Not Available,,Not Available,Not Available,Not Available,"10 Cloverfield Lane, 28 Years Later: The Bone Temple, All About Araya, Amanda Van Annan, American Mobster: Retribution, American Nudist",https://www.justwatch.com/in/movie/body-of-night
movie,Parasakthi(2026),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 7:11 PM, Adanga Maru, Anthony, Apple TV, Archana Padmini",https://www.justwatch.com/in/movie/parasakthi-2026
